zh,profession,rarity,en,ja,id,sex,birth_place,team,logo,race,nation,group,hp,atk,def,res,re_deploy,cost,block,interval,position,tag,obtain_method,potential,trust,phy,flex,tolerance,plan,skill,adapt,sortid,subprofession,description
12F,术师,1,12F,12F,R303,男,不明,,罗德岛,萨弗拉,罗德岛,,1461,432,50,10,70s,24,1,2.9s,远程位,新手,"公开招募, 主线剧情","cost,atk,re_deploy,atk,cost`-1,12,-5,12,-1","0,50,0",普通,优良,普通,普通,普通,标准,7,扩散术师,攻击造成群体法术伤害
Castle-3,近卫,0,Castle-3,Castle-3,RCX3,男,,,罗德岛,,罗德岛,,1191,353,90,0,200s,3,1,1.5s,近战位,支援机械 支援,公开招募,`,"200,60,0",,,,,,,2,无畏者,能够阻挡一个敌人，且不受部署数量限制，但再部署时间极长
CONFESS-47,先锋,0,CONFESS-47,CONFESS-47,LT47,未知,,,拉特兰,,拉特兰,,770,192,154,0,200s,3,2,1.05s,近战位,支援机械 控场,"公开招募, 活动获得",`,"100,0,30",,,,,,,369,尖兵,能够阻挡两个敌人，且不受部署数量限制，但再部署时间极长
Friston-3,重装,0,Friston-3,Friston-3,RCX5,男,,,罗德岛,,罗德岛,,1152,198,235,0,200s,3,3,1.2s,近战位,支援机械 防护,"公开招募, 活动获得",`,"100,0,70",,,,,,,283,铁卫,能够阻挡三个敌人，且不受部署数量限制，但再部署时间极长
Lancet-2,医疗,0,Lancet-2,Lancet-2,RCX2,女,,,罗德岛,,罗德岛,,435,70,27,0,200s,3,1,2.85s,远程位,支援机械 治疗,"公开招募, 主线剧情",`,"100,40,0",,,,,,,1,医师,恢复友方单位生命，且不受部署数量限制，但再部署时间极长
Miss.Christine,术师,4,Miss.Christine,ミス・クリスティーン,MEOW,女士,未知,,维多利亚,未公开,维多利亚,,1324,575,117,15,80s,20→22,1,1.6s,远程位,元素 输出,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,65,0",标准,标准,标准,标准,标准,缺陷,374,本源术师,攻击造成法术伤害，可以造成元素伤害
Mon3tr,医疗,5,Mon3tr,Mon3tr,R003,女,罗德岛,,罗德岛,未公开,罗德岛,,1735,528,221,0,70s,16→18,1,2.85s,远程位,治疗 输出 支援,标准寻访,"cost,,atk,cost,`-1,,25,-1,","500,30,0",■■,卓越,■■,标准,卓越,缺陷,368,链愈师,恢复友方单位生命，且会在3个友方单位间跳跃，每次跳跃治疗量降低25%
PhonoR-0,辅助,0,PhonoR-0,PhonoR-0,RCX6,女,,,罗德岛,,罗德岛,,395,205,30,5,200s,3,1,1.6s,远程位,支援机械 元素,"公开招募, 活动获得",`,"125,30,0",,,,,,,325,巫役,攻击造成法术伤害，可以造成元素损伤，且不受部署数量限制，但再部署时间极长
THRM-EX,特种,0,Thermal-EX,THRM-EX,RCX4,男,,,罗德岛,,罗德岛,,1443,260,443,50,200s,3,0,0.93s,近战位,支援机械 爆发,"公开招募, 主线剧情, 活动获得",`,"0,90,0",,,,,,,134,处决者,不进行攻击，且不受部署数量限制，但再部署时间极长
U-Official,辅助,0,U-Official,U-Official,U007,女,未公开,,罗德岛,札拉克,罗德岛,,385,102,28,0,200s,3,1,1.3s,远程位,控场,活动获得,`,"120,20,0",普通,缺陷,普通,缺陷,缺陷,普通,274,吟游者,不攻击，持续恢复范围内所有友军生命（每秒恢复相当于自身攻击力10%的生命），自身不受鼓舞影响，且不受部署数量限制，但再部署时间极长
